protocol,transfer_rate,avg_pkt_size,host_ratio,host_num,diff_port_num,diff_sport_num,opp_ratio,label
icmp,8932.56,42,0.5,1,1,1,1.0,icmpflood
udp,3566.89,42,0.5,1,1,1,0.0,udpflood
tcp,1.71,632,1.0,1,3,1,1.0,normal
tcp,1.76,509,1.0,1,1,1,1.0,normal
udp,2230.07,42,1.0,1,1,1,0.0,udpflood
icmp,142.09,1340,0.25,1,1,1,1.0,pingofdeath
icmp,12785.68,106,0.33,1,1,1,1.0,icmpflood
icmp,0.64,75,0.89,16,1,1,1.0,ipsweep
icmp,1618.56,74,0.33,1,1,1,1.0,icmpflood
udp,1217.78,52,1.0,1,1,1,0.0,udpflood
tcp,0.06,54,1.0,1,2,1,1.0,normal
udp,3956.38,62,0.17,1,1,1,0.0,udpflood
icmp,610.75,98,1.0,1,1,1,0.99,icmpflood
icmp,149.71,1374,0.17,1,1,1,1.0,pingofdeath
tcp,0.07,54,1.0,1,3,1,1.0,normal
tcp,0.6,54,1.0,1,104,104,1.0,tcpsynflood
tcp,0.0,56,1.0,1,1,1,1.0,normal
icmp,291.38,98,0.25,2,1,1,1.0,icmpflood
udp,11293.91,62,0.5,1,1,1,0.0,udpflood
icmp,12358.47,106,0.25,1,1,1,1.0,icmpflood
icmp,1.34,98,0.5,1,1,1,1.0,normal
icmp,10.57,98,0.5,1,1,1,1.0,normal
tcp,0.19,54,0.33,1,457,457,1.0,tcpsynflood
tcp,0.6,74,0.33,1,688,1,1.0,portscan
udp,0.09,126,0.33,1,63,1,1.0,normal
udp,2047.44,42,0.5,1,1,1,0.0,udpflood
udp,1605.89,42,1.0,1,1,1,0.0,udpflood
tcp,0.33,137,0.2,1,29,1,1.0,portscan
icmp,2650.22,106,0.25,1,1,1,1.0,icmpflood
icmp,103.14,1322,0.33,1,1,1,0.99,pingofdeath
icmp,0.27,98,0.82,19,1,1,1.0,ipsweep
udp,0.39,42,1.0,1,544,3,0.0,portscan
icmp,12584.9,106,0.33,1,1,1,1.0,icmpflood
udp,2871.36,42,1.0,1,1,1,0.0,udpflood
icmp,2438.44,74,1.0,1,1,1,1.0,icmpflood
udp,0.1,135,1.0,1,67,1,1.0,normal
icmp,1030.38,106,0.5,1,1,1,0.98,icmpflood
icmp,71.67,1320,0.25,1,1,1,1.0,pingofdeath
tcp,0.53,54,0.5,1,637,637,1.0,tcpsynflood
tcp,0.09,74,1.0,1,672,1,1.0,portscan
icmp,0.84,98,0.85,8,1,1,1.0,ipsweep
icmp,0.35,98,1.0,8,1,1,1.0,ipsweep
icmp,435.58,98,0.5,1,1,1,0.98,icmpflood
icmp,1044.33,90,1.0,1,1,1,1.0,icmpflood
tcp,1.09,391,0.33,1,1,1,0.92,normal
icmp,12399.94,106,0.25,1,1,1,1.0,icmpflood
icmp,78.41,1474,0.33,1,1,1,0.99,pingofdeath
tcp,0.28,54,0.25,1,472,472,1.0,tcpsynflood
tcp,0.65,200,1.0,1,1,1,1.0,normal
icmp,2563.57,42,0.33,1,1,1,1.0,icmpflood
icmp,75.36,42,0.2,1,1,1,1.0,icmpflood
tcp,1.15,54,1.0,1,1303,1303,1.0,tcpsynflood
icmp,20.35,1397,0.5,1,1,1,1.0,pingofdeath
icmp,206.01,1545,1.0,1,1,1,1.0,pingofdeath
icmp,0.58,79,0.94,16,1,1,1.0,ipsweep
udp,17318.19,62,1.0,1,1,1,0.0,udpflood
icmp,127.72,1446,1.0,1,1,1,1.0,pingofdeath
icmp,0.65,75,1.0,15,1,1,1.0,ipsweep
icmp,1233.0,42,1.0,1,1,1,0.85,icmpflood
icmp,0.31,98,0.25,1,1,1,1.0,normal
udp,0.5,120,1.0,1,46,1,1.0,normal
icmp,0.48,75,1.0,20,1,1,1.0,ipsweep
udp,9518.91,62,0.33,1,1,1,0.0,udpflood
icmp,0.63,85,1.0,8,1,1,1.0,ipsweep
udp,3110.06,42,0.5,1,1,1,0.0,udpflood
tcp,0.19,68,1.0,1,1,1,0.75,normal
udp,3909.86,62,0.17,1,1,1,0.0,udpflood
udp,5023.28,62,0.5,1,1,1,0.0,udpflood
tcp,0.55,54,0.2,1,386,386,1.0,tcpsynflood
tcp,0.32,74,0.5,1,604,1,1.0,portscan
tcp,0.84,74,1.0,1,1208,1,1.0,portscan
icmp,6760.79,106,0.33,1,1,1,1.0,icmpflood
icmp,0.22,98,0.85,8,1,1,1.0,ipsweep
icmp,129.22,42,0.2,1,1,1,1.0,icmpflood
icmp,1429.8,106,1.0,1,1,1,1.0,icmpflood
tcp,0.48,54,1.0,1,518,518,1.0,tcpsynflood
tcp,0.78,54,0.2,1,440,440,1.0,tcpsynflood
tcp,6.59,2071,1.0,1,2,1,0.93,normal
tcp,0.65,54,0.25,1,51,51,1.0,tcpsynflood
udp,617.89,62,1.0,1,1,1,0.0,udpflood
icmp,12515.77,106,0.25,1,1,1,1.0,icmpflood
tcp,0.47,54,1.0,1,173,173,1.0,tcpsynflood
tcp,1.9,939,1.0,1,2,1,1.0,normal
udp,2142.61,62,1.0,1,1,1,0.0,udpflood
icmp,68582.5,42,0.17,1,1,1,1.0,icmpflood
icmp,0.58,98,0.86,12,1,1,1.0,ipsweep
udp,15126.44,42,1.0,1,1,1,0.0,udpflood
tcp,0.8,99,1.0,1,104,1,1.0,portscan
udp,4195.67,93,1.0,1,1,1,0.0,udpflood
icmp,100.92,1298,0.25,1,1,1,1.0,pingofdeath
tcp,0.24,54,1.0,1,1,1,1.0,normal
icmp,0.54,98,0.8,8,1,1,1.0,ipsweep
tcp,0.66,54,0.5,1,222,222,1.0,tcpsynflood
icmp,21.69,1488,0.33,1,1,1,1.0,pingofdeath
icmp,836.26,98,0.11,1,1,1,0.6,icmpflood
udp,125.48,42,0.5,1,1,1,0.0,udpflood
icmp,52.85,1323,1.0,1,1,1,1.0,pingofdeath
tcp,0.48,54,1.0,1,1146,1146,1.0,tcpsynflood
tcp,0.48,473,1.0,1,2,1,1.0,normal
tcp,0.61,54,1.0,1,985,985,1.0,tcpsynflood
tcp,0.84,54,1.0,1,807,807,1.0,tcpsynflood
tcp,14.25,2412,0.33,1,1,1,0.7,normal
icmp,0.8,79,0.94,9,1,1,1.0,ipsweep
icmp,0.16,98,0.78,14,1,1,1.0,ipsweep
icmp,1.12,98,0.83,9,1,1,1.0,ipsweep
tcp,0.66,74,0.5,1,497,2,1.0,portscan
udp,0.96,122,1.0,1,14,1,1.0,normal
tcp,0.29,54,0.5,1,461,461,1.0,tcpsynflood
tcp,1.2,54,0.5,1,568,568,1.0,tcpsynflood
tcp,0.56,54,0.2,1,762,762,1.0,tcpsynflood
udp,17607.87,62,0.5,1,1,1,0.0,udpflood
icmp,11226.79,42,0.25,1,1,1,0.99,icmpflood
icmp,0.65,98,0.5,1,1,1,1.0,normal
udp,0.17,106,1.0,1,14,1,1.0,normal
tcp,0.36,74,0.2,1,470,1,1.0,portscan
icmp,0.54,98,0.82,9,1,1,1.0,ipsweep
tcp,0.39,58,1.0,1,516,1,1.0,portscan
tcp,0.58,54,0.33,1,338,338,1.0,tcpsynflood
udp,12399.05,42,0.14,1,1,1,0.0,udpflood
udp,18407.16,62,0.2,1,1,1,0.0,udpflood
icmp,264.95,1422,0.2,1,1,1,1.0,pingofdeath
icmp,0.57,98,0.73,6,1,1,1.0,ipsweep
udp,0.35,118,1.0,1,132,8,0.0,portscan
tcp,0.36,63,0.2,1,475,475,1.0,tcpsynflood
udp,9588.01,62,0.5,1,1,1,0.0,udpflood
tcp,0.83,54,0.5,1,371,371,1.0,tcpsynflood
icmp,1.18,98,0.25,1,1,1,1.0,normal
icmp,440.49,42,0.25,1,1,1,1.0,icmpflood
tcp,0.5,54,1.0,1,1031,1031,1.0,tcpsynflood
icmp,0.68,98,0.67,6,1,1,1.0,ipsweep
udp,17504.65,62,1.0,1,1,1,0.0,udpflood
icmp,0.78,98,0.73,15,1,1,1.0,ipsweep
tcp,1.13,54,0.5,1,319,319,1.0,tcpsynflood
tcp,0.08,58,1.0,1,2,1,1.0,normal
udp,14181.31,62,0.25,1,1,1,0.0,udpflood
udp,0.84,42,1.0,1,165,3,0.0,portscan
udp,8204.45,42,1.0,1,1,1,0.0,udpflood
tcp,0.37,54,0.2,1,476,476,1.0,tcpsynflood
icmp,15688.27,42,0.17,1,1,1,0.82,icmpflood
udp,10041.88,62,0.5,1,1,1,0.0,udpflood
udp,0.17,231,0.33,1,67,1,1.0,normal
udp,2246.15,42,1.0,1,1,1,0.0,udpflood
udp,0.15,130,1.0,1,29,1,1.0,normal
tcp,0.56,74,0.25,1,188,2,1.0,portscan
udp,7156.49,42,0.5,1,1,1,0.0,udpflood
udp,3607.26,67,0.33,1,1,1,0.0,udpflood
tcp,0.11,54,1.0,1,1,1,1.0,normal
tcp,0.2,73,1.0,1,1128,1128,1.0,tcpsynflood
udp,2611.71,62,1.0,1,1,1,0.0,udpflood
tcp,0.82,74,1.0,1,550,1,1.0,portscan
tcp,0.14,68,1.0,1,1,1,0.5,normal
udp,0.0,150,1.0,1,46,1,1.0,normal
udp,4239.99,42,1.0,1,1,1,0.0,udpflood
tcp,5.02,520,1.0,1,2,1,1.0,normal
tcp,0.53,74,0.5,1,161,1,1.0,portscan
tcp,0.09,74,0.2,1,342,1,1.0,portscan
tcp,0.83,74,0.5,1,217,2,1.0,portscan
tcp,1.08,74,0.5,1,199,1,1.0,portscan
tcp,6.28,3182,1.0,1,12,1,0.97,normal
udp,0.12,150,1.0,1,23,1,1.0,normal
icmp,0.81,54,0.73,19,1,1,1.0,ipsweep
tcp,0.86,54,0.2,1,386,386,1.0,tcpsynflood
icmp,905.04,98,0.33,1,1,1,0.92,icmpflood
tcp,0.5,372,1.0,1,3,1,1.0,normal
icmp,5876.73,42,1.0,1,1,1,1.0,icmpflood
icmp,725.09,42,0.33,1,1,1,1.0,icmpflood
udp,0.58,42,0.17,1,529,4,0.0,portscan
udp,703.79,62,1.0,1,1,1,0.0,udpflood
udp,9417.07,62,0.17,1,1,1,0.0,udpflood
tcp,0.8,74,1.0,1,260,2,1.0,portscan
tcp,0.41,74,0.5,1,1137,1,1.0,portscan
udp,0.52,278,1.0,1,46,1,1.0,normal
udp,3755.42,42,0.33,1,1,1,0.0,udpflood
udp,1844.1,62,0.5,1,1,1,0.0,udpflood
tcp,0.29,54,1.0,1,478,478,0.5,tcpsynflood
udp,0.29,113,1.0,1,46,1,1.0,normal
tcp,0.32,74,0.5,1,543,2,1.0,portscan
tcp,0.13,54,1.0,1,624,624,1.0,tcpsynflood
icmp,0.22,98,0.2,1,1,1,1.0,normal
icmp,14883.84,42,0.2,1,1,1,0.96,icmpflood
udp,363.14,62,0.5,1,1,1,0.0,udpflood
udp,0.14,132,1.0,1,23,1,1.0,normal
udp,0.07,134,1.0,1,17,1,1.0,normal
tcp,0.27,54,0.5,1,171,171,1.0,tcpsynflood
icmp,0.14,98,0.88,6,1,1,1.0,ipsweep
udp,0.16,312,0.33,1,67,1,1.0,normal
tcp,0.94,58,0.2,1,91,1,1.0,portscan
udp,11838.78,42,1.0,1,1,1,0.0,udpflood
udp,9907.32,62,1.0,1,1,1,0.0,udpflood
tcp,0.7,54,1.0,1,1030,1030,1.0,tcpsynflood
udp,820.05,89,0.33,1,1,1,0.0,udpflood
tcp,0.6,74,0.2,1,262,1,1.0,portscan
tcp,0.57,54,0.5,1,583,583,1.0,tcpsynflood
udp,2048.63,42,0.5,1,1,1,0.0,udpflood
tcp,0.24,74,0.5,1,441,2,1.0,portscan
tcp,0.31,73,1.0,1,906,906,1.0,tcpsynflood
udp,0.08,115,1.0,1,67,1,1.0,normal
udp,9189.26,42,0.2,1,1,1,0.0,udpflood
icmp,1388.53,55,1.0,1,1,1,0.63,icmpflood
tcp,0.3,105,1.0,1,461,461,1.0,tcpsynflood
tcp,0.85,74,0.17,1,1183,1,1.0,portscan
tcp,0.27,54,0.25,1,87,87,1.0,tcpsynflood
udp,3134.78,42,1.0,1,1,1,0.0,udpflood
icmp,1611.1,42,0.33,1,1,1,1.0,icmpflood
icmp,610.28,55,0.5,1,1,1,0.53,icmpflood
udp,14374.78,62,1.0,1,1,1,0.0,udpflood
tcp,1.39,397,0.33,1,1,1,0.71,normal
tcp,2.37,2103,1.0,1,1,1,1.0,normal
tcp,235.77,2761,1.0,1,1,1,0.58,normal
tcp,0.12,54,1.0,1,1,1,1.0,normal
icmp,5262.31,42,0.25,1,1,1,1.0,icmpflood
udp,5309.08,42,1.0,1,1,1,0.0,udpflood
tcp,0.6,54,0.2,1,1235,1235,1.0,tcpsynflood
tcp,0.49,54,1.0,1,773,773,1.0,tcpsynflood
tcp,0.2,54,1.0,1,1010,1010,0.5,tcpsynflood
tcp,0.19,54,0.25,1,165,165,1.0,tcpsynflood
tcp,0.77,121,1.0,1,541,541,1.0,tcpsynflood
udp,2084.31,42,1.0,1,1,1,0.0,udpflood
icmp,1.05,98,0.78,7,1,1,1.0,ipsweep
tcp,0.52,159,1.0,1,155,2,1.0,portscan
tcp,0.26,54,0.2,1,540,540,1.0,tcpsynflood
icmp,4213.56,42,0.17,1,1,1,0.89,icmpflood
udp,9978.37,42,1.0,1,1,1,0.0,udpflood
tcp,0.62,54,0.5,1,29,29,1.0,tcpsynflood
icmp,150.09,1527,1.0,1,1,1,1.0,pingofdeath
icmp,2542.16,42,0.12,1,1,1,0.93,icmpflood
icmp,23.21,1399,1.0,1,1,1,1.0,pingofdeath
udp,0.07,133,0.33,1,63,1,1.0,normal
tcp,0.28,54,0.33,1,239,239,0.28,tcpsynflood
icmp,59.1,1485,1.0,1,1,1,1.0,pingofdeath
udp,0.06,160,1.0,2,22,1,1.0,normal
icmp,0.34,98,0.88,22,1,1,0.62,ipsweep
udp,508.27,62,1.0,1,1,1,0.0,udpflood
icmp,1.08,98,1.0,8,1,1,1.0,ipsweep
tcp,0.15,54,0.2,1,1031,1031,1.0,tcpsynflood
tcp,0.69,74,1.0,1,801,1,1.0,portscan
tcp,0.24,58,0.2,1,447,1,1.0,portscan
icmp,55.82,1463,0.25,1,1,1,1.0,pingofdeath
icmp,434.28,98,1.0,1,1,1,0.55,icmpflood
icmp,557.62,79,0.25,1,1,1,1.0,icmpflood
tcp,0.54,54,1.0,1,79,79,1.0,tcpsynflood
tcp,0.39,74,0.5,1,488,1,1.0,portscan
tcp,1.41,454,1.0,1,3,1,1.0,normal
icmp,118.93,1406,1.0,1,1,1,1.0,pingofdeath
udp,1.1,42,1.0,1,454,7,0.0,portscan
tcp,1.1,85,0.5,1,843,843,1.0,tcpsynflood
icmp,1482.09,42,0.5,1,1,1,1.0,icmpflood
udp,4198.76,62,1.0,1,1,1,0.0,udpflood
tcp,0.83,519,0.5,1,2,1,1.0,normal
tcp,1.17,517,0.33,1,1,1,0.88,normal
icmp,62.58,1313,1.0,1,1,1,1.0,pingofdeath
udp,0.31,180,1.0,1,46,1,1.0,normal
tcp,2.22,468,0.33,1,2,1,0.82,normal
tcp,0.34,54,1.0,1,968,968,1.0,tcpsynflood
icmp,12782.36,106,0.33,1,1,1,1.0,icmpflood
udp,0.96,123,1.0,1,14,1,1.0,normal
icmp,0.28,67,0.67,16,1,1,1.0,ipsweep
